dataset_key	article_ids	paper_dois	dataset_name	recovery_status	kg_ingestion_status	dataset_dois	verified_or_kg_source_urls	tei_repository_clues	existing_local_paths	tei_paths	source_owner_seed	retrieval_lead_seed	curation_notes_seed	tei_evidence_excerpt	next_action
carolina_wren_presence_absence_and_prism_climate_data	C03	10.1002/env.2771	Carolina wren presence-absence and PRISM climate data	mixed_public_and_author_supplied_reconstruction			https://www.pwrc.usgs.gov/bbs/ | https://prism.oregonstate.edu/			corpus\papers\tei\C03.tei.xml	North American Breeding Bird Survey and PRISM	Retrieve BBS observations and PRISM covariates following C03 supplement	C03 identifies BBS routes for Carolina wren presence/absence and PRISM climate products. The paper also indicates that the error-contaminated climate construction follows a prior study; the exact assembled analysis table is not deposited.	odel, where the response is regressed against the predicted covariates plus another set of spatial basis functions to account for spatial correlation. A simulation study and an application to presence-absence records of Carolina wren from the North American Breeding Bird Survey demonstrate that the proposed double FRK approach can be effective in adjusting for measurement error in spatially correlated data. INTRODUCTION With the popularization of technologies such as geographic information systems (GIS) and remote sensing tools, it is becoming increasingly common in many scientific disciplines such as environmetrics, ecological statistics,	retrieve BBS and PRISM source layers, then determine whether the paper-specific contaminated covariates can be reproduced without author files
cesm_large_ensemble_climate_fields	S09	10.1002/env.2652	CESM Large Ensemble climate fields	downloaded_content_verified			https://github.com/NCAR/LatticeKrig/tree/master/Datasets/LENNS		data/raw/papers/S09_CESM_LENS/github_NCAR_LatticeKrig/BRACEUfields.rda;data/raw/papers/S09_CESM_LENS/github_NCAR_LatticeKrig/README	corpus\papers\tei\S09.tei.xml	CESM LENS	Retrieve from CESM LENS archive and reproduce variables/subset from S09	Exact R binary cited by S09 recovered from the official NCAR/LatticeKrig repository (the directory is LENNS, despite the LENS spelling in the article). Verified objects: Ufield 288x192x30, Umean 288x192, landMask 288x192, Longitude 288 and Latitude 192.	e structure is important to represent heterogeneity in geophysical and other environmental spatial processes. In this work, we investigate a two-stage approach to modeling nonstationary covariances that is efficient for large data sets. First, maximum likelihood estimation is used in local, moving windows to infer spatially varying covariance parameters. These surfaces of covariance parameters are then encoded into a global covariance model specifying the second-order structure for the complete spatial domain. From this second step, the resulting global model allows for efficient simulation and prediction. This work uses a nonstationary	implement the paper subset (Americas, 102x128) and standardization described in S09, then create a loader while preserving the 30 ensemble members
clearwater	A03	10.1007/s10109-025-00481-4	Clearwater	already_in_repo	catalog_only_needs_reconciliation		https://pysal.org/notebooks/lib/libpysal/Example_Datasets.html		data/final_datasets/sf/Python_libpysal_clearwater.rds	corpus\papers\tei\atds_mgwr_ghislain_geniaux.tei.xml				ataset on house prices in France (DVF), ensuring a wide diversity in theme, sample sizes and number of explanatory variables. The table 5 describes the main characteristics of these datasets. Further details on Georgia, Clearwater, Tokyo and Berlin datasets can be found on Pysal website ( p y s a l . Because atds_mgwr requires computing the global AIC using the formula from Yu et al. (2020) at each iteration of the two stages of this estimator, it cannot be used for datasets larger than 5000 observations within a reasonable time frame. Therefore, atds_mgwr results are provided only for samples smaller than this threshold. Predictions are made	verify exact paper extract, variables and licence
coastal_zhejiang_environmental_observations	A06	10.1080/13658816.2019.1707834	Coastal Zhejiang environmental observations	restricted_access_documented_manual_application	simulation_and_code_only_empirical_restricted	10.6084/m9.figshare.11375826;10.6084/m9.figshare.11506803	https://doi.org/10.6084/m9.figshare.11375826;https://doi.org/10.6084/m9.figshare.11506803		data\raw\papers\DataCite_2020_GeographicallyNeuralNetworkWeighted_10_1080_13658816;data\raw\papers\MediumPriorityRetry_10_6084_m9_figshare_11375826	corpus\papers\tei\Geographically neural network weighted regression for the accurate estimation of spatial non-stationarity.tei.xml			Both official CC BY 4.0 Figshare records were checked through the API. Record 11506803 contains Python code plus 100 files named simulated_Data_high_none; record 11375826 is the ZIP of the same material. Neither record contains the coastal Zhejiang empirical observations. The publisher page explicitly states that the Zhejiang environmental monitoring dataset cannot be shared publicly because of Chinese data-policy restrictions.	o represent the nonstationary weight matrix in GNNWR and developed two case studies to examine the effectiveness of GNNWR. The first case used simulated datasets, and the second case, environmental observations from the coastal areas of Zhejiang. The results showed that GNNWR achieved better fitting accuracy and more adequate prediction than OLS and GWR. In addition, GNNWR is applicable to addressing spatial non-stationarity in various domains with complex geographical processes. Introduction The geographically weighted regression (GWR) model proposed by Brunsdon et al. (1996) , is a geostatistical technique that takes spatial non-stationa	contact the authors to request an authorized version or access procedure; retain metadata only unless access is granted
colorado_climatological_stations	S01	10.1002/env.785	Colorado climatological stations	public_source_reconstruction_complete_manual_review	rds_fiche_and_kg_created_manual_review		https://cran.r-project.org/package=fields;https://www.image.ucar.edu/Data/US.monthly.met/		data/raw/papers/S01_Colorado_climatological_stations/ucar/US_monthly_met_historical/RData.COmonthly.met;data/raw/papers/S01_Colorado_climatological_stations/ucar/US_monthly_met_historical/CO.process.R;data/raw/papers/S01_Colorado_climatological_stations/fields/data/COmonthlyMet.rda;data/raw/papers/S01_Colorado_climatological_stations/cran_archive/fields_2.3/fields_2.3.tar.gz;data/raw/papers/S01_Colorado_climatological_stations/ucar/US_monthly_met_historical/colorado_precip_1981_reconstruction.csv;tools/build_s01_colorado_precip.py;data/final_datasets/sf/paper_s01_colorado_precip_1981.rds;wiki/datasets/fiches_datasets/paper_s01_colorado_precip_1981.md	corpus\papers\tei\S01.tei.xml	NCAR Geophysical Statistics Project	Search archived NCAR US.monthly.met data referenced in the TEI	Full TEI reread: S01 states only that 1981 maximizes stations without missing monthly values (217); no station identifiers, mask, or further selection rule is supplied. Applying exactly that stated criterion to the official historical UCAR object yields 244 stations. Per project decision, the 244-station reconstruction is retained and explicitly labelled as non-identical to the authors' 217. Response: log annual precipitation; model in the paper: Y_i ~ N(f(x_i), eta^2), f(.) ~ GP(mu, C), with stationary and nonstationary Matern covariance variants.	µ, and η for the different regions. One could also use different values of ν, following Stein (2005) , who has extended our approach to allow for spatially-varying ν. In the next section, we illustrate this approach in Colorado, splitting the state into two regions of differing topography. Another possibility is to estimate the kernel matrices at each location of interest in a weighted or moving window fashion. Recall that if the elements of the kernel matrices vary slowly, the nonstationary covariance is locally a nearly stationary anisotropic covariance. In a small neighborhood, for x j near x i , Σ j ≈ Σ i ; our task is to estimate the	generate the sf RDS through the paper loader when R is available; retain manual_review and seek author identifiers only if exact replication becomes necessary
deforestation	A02	10.4230/LIPIcs.GIScience.2023.11	deforestation	pipeline_rds_built_manual_review			https://github.com/mie-lab/spatial_rf_python		data/raw/papers/A02_spatial_rf_python/data/deforestation.csv | data/final_datasets/sf/paper_a02_deforestation.rds	corpus\papers\tei\Benchmarking Regression Models Under Spatial heterogeneity.tei.xml			CRS recovered from the cited GWRFC source object: +proj=utm +zone=18 +datum=WGS84; EPSG:32718 (WGS84 / UTM zone 18S). CSV x/y equal the original polygon centroids to numerical precision (< 6e-10 m). The paper warns that the four-level quantile response is problematic for regression. Official replication commit 20d88253883492d81e62ae550a01ff2b8aaeed26; repository license MIT. Formula: deforestation_quantile ~ all 35 non-coordinate predictors.	which we have extracted only one year's worth of data for our purposes. Rates of smoking and poverty, as well as PM25, SO2, and NO2 levels provided as annual means are utilized as covariates. We further use a dataset on deforestation rates 7 that was published by Santos et al. [27] . The dataset provides annual deforestation rates from 2000 to 2010 for 2418 grid cells (single values averaged over 10 years). The deforestation rate is to be predicted from 35 further variables about sociodemographics, spatial features, and economic information. The forestation rate is given as four quantiles, which is problematic for the framing as a regression pro	Add KG paper-dataset relation and fiche metadata; manually verify the fiche before package promotion.
dual_gravity_trade_data	E09	10.1016/j.regsciurbeco.2013.12.003	dual gravity/trade data	mixed_public_sources_reconstruction_required			http://cid.econ.ucdavis.edu/ | https://www.spatial-econometrics.com/			corpus\papers\tei\E09.tei.xml	Behrens et al. (2012)	Retrieve replication material cited by E08/E09; search title plus Behrens 2012 gravity data	E09 combines the 506-row Boston housing benchmark from Kelley Pace's toolbox with the Anderson–van Wincoop trade data. The Boston component is public; the legacy trade component still needs retrieval and exact scaling verification.	idences that the SARAR(1,0) specification may not be the correct specification for this application. In the presence of mis-specifications, the performance of estimators can change as shown in the next application. Dual gravity model This second empirical illustration checks for the robustness of some of the results presented in Behrens et al. (2012), which estimates the so-called gravity equation system using techniques borrowed from spatial econometrics. For the analysis bilateral trade flows, the gravity equation system yields convenient regression specifications. Although theoretical ground is simple and powerful, estimation is not str	retrieve both legacy sources and reproduce the two empirical samples separately
dublin_voter_2002	A07;G05;G10	10.1080/00949655.2017.1311896;10.1080/13658816.2022.2097684;10.3934/math.2023713	Dublin voter-turnout data	already_in_repo	ingested_via_package_dataset	10.6084/m9.figshare.16680610;10.6084/m9.figshare.4836836	https://tandf.figshare.com/articles/dataset/Structure_identification_and_variable_selection_in_geographically_weighted_regression_models/4836836		data/final_datasets/sf/R_GWmodel_DubVoter_Dub.voter.rds;wiki/datasets/fiches_datasets/R_GWmodel_DubVoter_Dub.voter.md	corpus\papers\tei\Dambon_2022_SVC_variable_selection_IJGIS.tei.xml;corpus\papers\tei\G10.tei.xml;corpus\papers\tei\Structure identification and variable selection in geographically weighted regression models.tei.xml			The complete 322-electoral-division GWmodel dataset is already normalized locally. The existing fiche documents its polygon and point geometries and the full eight-covariate formula. No duplicate dataset should be created.	and can simultaneously identify spatially varying coefficients, nonzero constant coefficients and zero coefficients. Simulation experiments are further conducted to assess the performance of the proposed method and the Dublin voter turnout data set is analysed to demonstrate its application. Introduction Geographically weighted regression (GWR) [1, 2] has been a very popular local modelling method that seeks to discover potential patterns of spatial non-stationarity in a regression relationship. In this methodology, the spatially varying coefficient model y i = p j=1 β j (u i , v i )x ij + ε i , i = 1, . . . , n, (1) is calibrated by the | (u i ) + 4 k=2 β p (u i )x ik + ε i . Figure 4 summarizes estimated coefficient functions using the adaptive method, LL, and GWR respectively, which are considerably in space. Figure 7(a) shows a residual QQ-plot of the Dublin voter turnout via the adaptive method. From the plot, we can see that the distribution of the residual is very close to normal. To evaluate the prediction accuracy of the adaptive method, we set aside 50 observations for comparing the mean squared prediction error (MSPE) of the adaptive method, LL, and GWR. The MSPE is computed as follows: MSPE = 1 m m j=1 (y j -ŷj ) 2 , j = 1, • • • , m, where m = 50 and ŷ j = β1 (	link A07, G05 and G10 paper-specific uses to the existing dataset in the KG; preserve each paper's exact formula or selected-variable specification
ecospat_hypothetical_species_presence_absence	A01	10.1007/s10109-018-0280-7	ecospat hypothetical-species presence/absence	downloaded_content_verified	pipeline_rds_built_n_discrepancy_manual_review		https://cran.r-project.org/package=ecospat		data\raw\papers\A01_ecospat_testNiche_nat\ecospat_2.1.1.tar.gz | data\raw\papers\A01_ecospat_testNiche_nat\maps_3.1.1.tar.gz | data\final_datasets\sf\paper_ecospat_testNiche_nat.rds	corpus\papers\tei\Geographically_weighted_elastic_net_logistic_regression_W2892463357.tei.xml			A01 cites ecospat 2.1.1 and maps 3.1.1. The loader reads the cited ecospat archive, applies the maps::usa mainland mask, creates species_absence=1-species_occ, and retains the five published predictors gdd, p, pet, stdp and tmp. The cited and current maps boundaries both yield N=3247, whereas A01 reports N=3259; the 12-cell discrepancy remains explicit.	is indicated the counties where Trump received the most votes. The voting patterns (response) and socio-economic attributes (predictors) are mapped in Fig. 1 . US species data A second US data set was extracted from the ecospat R package (Broennimann et al. 2016 ). The ecospat.testNiche.nat data set covers no specific year and is described as being 'test data for the niche dynamics analysis in the native range of a hypothetical species'. It includes environmental predictor variables and a binary response variable indicating species presence/absence records for the occurrence of a number of species at 3,259 locations on a grid. The data cov	seek author code or archived analytic data to identify the 12-cell difference; do not add an undocumented buffer or force N=3259
england_and_wales_house_prices	G10	10.3934/math.2023713	England and Wales house prices	already_in_repo					data/final_datasets/sf/R_GWmodel_EWHP_ewhp.rds;wiki/datasets/fiches_datasets/R_GWmodel_EWHP_ewhp.md;wiki/datasets/r_package_docs/GWmodel/topics/EWHP.md	corpus\papers\tei\G10.tei.xml			Complete GWmodel::EWHP dataset already normalized locally (519 observations). Existing formula is system-generated, so it must not be attributed to G10 without paper-level verification.	ally varying coefficient models of the fitted data is: y i = β 1 (u i ) + β 2 (u i )x 2 + ε i . The estimated coefficient function is shown in Figure 6 , and Figure 7 (b) shows a residual QQ plot via adaptive method for England and Wales house price data. Similar to the analysis in example 1, we set aside 50 observations as the test set. The MSPE of the adaptive approach, LL and GWR are 0.302, 0.339 and 0.548, respectively. The QQ-plot of residuals from the above fit showed a clear deviation from normality, which explains why the MSPE from the adaptive approach is smaller than LL and GWR. (a) β1 (b) β2 Concluding remarks In this article, w	read G10 empirical section and record its exact selected-variable specification as a paper-specific KG use; retain unresolved source CRS
european_weekly_maximum_precipitation	S10	10.1080/00949655.2021.2016759	European weekly maximum precipitation	source_not_reported_in_article						corpus\papers\tei\S10.tei.xml	Source described in S10	Search article supplement and station-data citation using DOI 10.1080/00949655.2021.2016759	S10 describes 528 stations and 1,006 weekly maxima from six European countries for 2000–2019, but the TEI contains no repository, provider or data-access statement. ECA&D is a plausible provider but is not asserted by the paper and is therefore not recorded as the source.	servation locations D because the censoring threshold is chosen to be high, such that most observations fall below the threshold and are therefore censored. Figure 8 . 8 Figure 8. D = 528 weather stations located over 6 European countries Acknowledgements This research was supported in part by NSF grant DMS-1752280 . Computations for this research were performed on the Institute for Computational and Data Sciences Advanced CyberInfrastructure (ICDS-ACI ). DMS-1752280 On the unification of families of skewnormal distributions Reinaldo B Arellano-Valle Adelchi Azzalini 10.1111/j.1467-9469.2006.00503.x Scand. J. Statist 0303-6898 33 3 2006 Hie	check supplementary material and contact authors for the station identifiers or exact analysis table before attempting reconstruction
fia_biomass	S04;S07	10.1080/01621459.2015.1044091;10.1111/j.1467-9868.2008.00663.x	USDA Forest Inventory and Analysis biomass	public_program_exact_sample_not_deposited			https://www.fia.fs.usda.gov/tools-data/			corpus\papers\tei\S04.tei.xml;corpus\papers\tei\S07.tei.xml	USDA Forest Service FIA	Use FIA access procedure and paper supplements; preserve disclosure/location restrictions	S04 and S07 identify USDA Forest Inventory and Analysis as the source. Public FIA tables exist, but the exact geocoded plot sample used in the papers is not deposited and FIA precise plot coordinates are privacy-protected.	ambitious in its spatial modelling and inferential objectives. We illustrate with two simulated examples yielding rather complex spatial random fields and with a challenging spatially adaptive regression model fitted to forest biomass data. Section 2 introduces and discusses the predictive process models as well as relevant specification issues. Section 3 considers extensions to multivariate process models. Section 4 describes Bayesian computation issues and Section 5 presents the two examples. Section 6 concludes with a brief discussion including future work. The programs that were used to analyse the data can be obtained from http://www | linear in the number of spatial locations, thereby rendering substantial scalability. We illustrate the computational and inferential benefits of the NNGP over competing methods using simulation studies and also analyze forest biomass from a massive U.S. Forest Inventory dataset at a scale that precludes alternative dimension-reducing methods. Supplementary materials for this article are available online. Introduction With the growing capabilities of Geographical Information Systems (GIS) and user-friendly software, statisticians today routinely encounter geographically referenced datasets containing a large number of irregularly located	recover public FIA attributes and determine whether the paper's 9,500-location sample can be reproduced with fuzzed coordinates; otherwise request the analysis extract
georgia	A03	10.1007/s10109-025-00481-4	Georgia	already_in_repo	ingested		https://pysal.org/notebooks/lib/libpysal/Example_Datasets.html		data/final_datasets/sf/Python_libpysal_georgia.rds	corpus\papers\tei\atds_mgwr_ghislain_geniaux.tei.xml				an open dataset on house prices in France (DVF), ensuring a wide diversity in theme, sample sizes and number of explanatory variables. The table 5 describes the main characteristics of these datasets. Further details on Georgia, Clearwater, Tokyo and Berlin datasets can be found on Pysal website ( p y s a l . Because atds_mgwr requires computing the global AIC using the formula from Yu et al. (2020) at each iteration of the two stages of this estimator, it cannot be used for datasets larger than 5000 observations within a reasonable time frame. Therefore, atds_mgwr results are provided only for samples smaller than this threshold. Predicti	verify exact paper extract, variables and licence
georgia_educational_attainment_data	G07	10.1111/gean.12189	Georgia educational-attainment data	already_in_repo					data/final_datasets/sf/R_GWmodel_Georgia_Gedu.df.rds;data/final_datasets/sf/R_GWmodel_GeorgiaCounties_Gedu.counties.rds;wiki/datasets/fiches_datasets/R_GWmodel_Georgia_Gedu.df.md	corpus\papers\tei\G07.tei.xml			GWmodel Georgia educational-attainment point and county objects are already normalized locally. Paper-specific response and covariate selection still require verification.	stimates of the local standard errors of the parameters obtained in the calibration of a model by MGWR. We now demonstrate the use of Equation ( 24 ) in a real-world data set on educational attainment across counties in Georgia, commonly used in GWR as a demonstrator. We use this to show that when the MGWR covariate-specific bandwidths are all similar to the single bandwidth obtained in GWR, the standard errors of the local parameter estimates from both models, and subsequent inferences drawn from the results, are similar, as expected. This provides further reinforcement of the methodology described above. An example of educational attainm	read G07 empirical specification and link it to the existing Georgia artifact rather than duplicating the dataset
greater_boston_traffic_particles_and_birth_weight	A11	10.1093/biostatistics/kxn033	Greater Boston traffic particles and birth weight	restricted_access_documented_manual_application						corpus\papers\tei\gryparis_2009.tei.xml			A11 states that births came from the Massachusetts birth registry (1996–2002), with human-subjects approval. The individual birth records and geocodes are not public.	al measurement error concepts can help to explain the relative practical performance of the different methods. We apply the methods to data on the association between levels of particulate matter and birth weight in the greater Boston area. INTRODUCTION AND SCIENTIFIC MOTIVATION Exposure assessment studies have shown that there exist important factors, such as traffic conditions, point sources of pollution, and urban building canyon effects, that induce spatial variability in pollution levels. With the advent of geographic information system (GIS)-based modeling, researchers have begun to focus on spatial variability in air pollution and i	retain as a documented restricted-data application; do not reconstruct or promote without an authorized de-identified extract
