rank,paper_title,authors,year,DOI,citation_count_text,citation_count,citation_source,checked,already_in_corpus,domain,estimator_keywords,dataset_name,dataset_topic,dataset_size_if_available,response_variable,predictors_or_covariates,coordinates_or_geometry,W_or_neighbor_structure_if_available,regression_formula_or_model_specification,formula_status,metrics,access_class,data_access_url,code_url,open_access_pdf_url,reason_for_selection,ingestion_priority,verification_notes,sources
46,PyGRF: An improved Python Geographical Random Forest model and case studies in public health and natural disasters,Kai Sun; Ryan Zhenqi Zhou; Jiyeon Kim; Yingjie Hu,2024,10.1111/tgis.13248,non vérifié,,non vérifié,2026-08-04,uncertain,public health / natural disasters / geospatial ML,PyGRF; GRF; local RF,example dataset plus two case studies distributed on GitHub,public health and natural-disaster prediction,see GitHub repository,varies by case study,"case-specific socioeconomic, environmental and hazard covariates",georeferenced observations,adaptive local training neighborhoods and spatially weighted local prediction,global RF and improved local GRF prediction,explicit,RMSE; R²; local prediction error; hyperparameter diagnostics,directly downloadable,https://github.com/geoai-lab/PyGRF,https://github.com/geoai-lab/PyGRF,https://arxiv.org/pdf/2409.13947,Very recent but unusually strong data/code availability and Python interoperability.,high,Recent central exception to the ≥100-citation preference; split each GitHub case study into its own dataset entity.,https://doi.org/10.1111/tgis.13248 ; https://github.com/geoai-lab/PyGRF ; https://arxiv.org/abs/2409.13947
21,Spatial modelling: A comprehensive framework for principal coordinate analysis of neighbour matrices (PCNM),Stéphane Dray; Pierre Legendre; Pedro R. Peres-Neto,2006,10.1016/j.ecolmodel.2006.02.015,"1,909",1909,SciSpace,2026-08-04,uncertain,biodiversity / ecology,PCNM; MEM; spatial eigenvectors,Oribatid mite ecological community data,species distribution and environmental gradients,70 sites; 35 species in the commonly distributed mite table,species abundance matrix / selected species responses,environmental variables in mite.env and spatial coordinates in mite.xy,sampling-site coordinates,truncated distance matrix transformed into PCNM eigenvectors,response ~ environmental covariates + selected PCNM/MEM eigenvectors,partial,adjusted R²; variance partitioning; permutation tests,directly downloadable,https://vegandevs.github.io/vegan/reference/mite.html,https://cran.r-project.org/package=vegan,non trouvé,Highly cited eigenvector-spatial-filtering case with an openly packaged ecological dataset.,high,Verify which exact subset/species and PCNM selection rule is used in each article analysis.,https://doi.org/10.1016/j.ecolmodel.2006.02.015 ; https://vegandevs.github.io/vegan/reference/mite.html
24,"Cross-validation strategies for data with temporal, spatial, hierarchical, or phylogenetic structure",David R. Roberts et al.,2017,10.1111/ecog.02881,"1,634",1634,SciSpace,2026-08-04,uncertain,spatial cross-validation / ecology,spatial CV; block CV; buffered CV; leave-location-out,simulation and ecological case-study data in Dryad,structured prediction validation,multiple datasets,varies by case study,case-study environmental predictors,"coordinates, time/group labels and/or phylogenetic structure","folds defined by spatial blocks, buffers, clusters or groups",estimator-independent validation framework rather than one regression formula,partial,RMSE; AUC; prediction error; optimism bias,directly downloadable,https://datadryad.org/dataset/doi:10.5061/dryad.737gk,non trouvé,non trouvé,Essential benchmark-design paper with an archived dataset and reusable split definitions.,high,Create benchmark metadata for both dataset and resampling geometry.,https://doi.org/10.1111/ecog.02881 ; https://doi.org/10.5061/dryad.737gk
1,Sparse spatial autoregressions,R. Kelley Pace; Ronald Barry,1997,10.1016/S0167-7152(96)00140-X,626,626,UPDF (compteur affiché),2026-08-04,uncertain,housing / real estate,SAR; spatial autoregression; sparse matrices,California Housing / 1990 census-tract housing,housing prices,"20,640 observations dans l’article; certaines versions dérivées diffèrent",median house value,variables de logement et démographie du recensement; spécification empirique exacte à extraire du PDF,coordonnées latitude/longitude des census tracts,matrice spatiale creuse; construction exacte à vérifier dans l’article,modèle SAR creux; formule empirique complète non extraite,partial,logLik; erreurs de prédiction; diagnostics de calcul,directly downloadable,https://teaching.seehuhn.de/data/housing/,non trouvé,non trouvé,"Jeu canonique, grande taille, coordonnées et très forte réutilisation en économétrie spatiale et ML.",high,"Vérifier la différence 20,640 vs 20,433 selon le nettoyage et la version du fichier.",https://doi.org/10.1016/S0167-7152(96)00140-X ; https://teaching.seehuhn.de/data/housing/
44,Importance of spatial predictor variable selection in machine learning applications – Moving from data reproduction to spatial prediction,Hanna Meyer et al.,2019,10.1016/j.ecolmodel.2019.108815,290,290,OpenAlex via Rankless,2026-08-04,uncertain,land cover / biodiversity / remote sensing,RF; spatial CV; feature selection,Marburg Open Forest and remote-sensing case studies,land cover and leaf-area-index prediction,multiple case studies,land-cover class and/or leaf area index,"remote-sensing bands, terrain/environmental predictors and coordinates",field observations / pixels plus prediction grids,spatial CV blocks; coordinate variables evaluated as predictors,RF with spatial predictor selection,partial,RMSE; R²; classification accuracy; spatial CV,directly downloadable,https://cran.r-project.org/package=CAST,https://github.com/HannaMeyer/CAST,non trouvé,Strong demonstration of spatial leakage and predictor selection with reproducible software.,high,Recover exact data objects and scripts from CAST/article supplements before ingestion.,https://doi.org/10.1016/j.ecolmodel.2019.108815 ; https://cran.r-project.org/package=CAST
34,Very high resolution interpolated climate surfaces for global land areas,Robert J. Hijmans; Susan E. Cameron; Juan L. Parra; Peter G. Jones; Andy Jarvis,2005,10.1002/joc.1276,139,139,CiNii; likely undercount versus other indexes,2026-08-04,uncertain,climate / interpolation,thin-plate spline; spatial interpolation,WorldClim version 1,global temperature and precipitation climatologies,station counts vary by variable and month,monthly precipitation and minimum/maximum temperature climatologies,"weather-station observations, elevation and geographic position",station coordinates and global raster grid,distance/elevation interpolation rather than a fixed W,thin-plate spline climate interpolation models,partial,cross-validation error; RMSE; map diagnostics,directly downloadable,https://www.worldclim.org/data/v1.4/,non trouvé,non trouvé,Extremely reusable global raster covariates and responses for spatial interpolation benchmarks.,high,Citation count shown is source-specific and likely a substantial undercount; retain exact WorldClim v1 files.,https://doi.org/10.1002/joc.1276 ; https://www.worldclim.org/data/v1.4/
10,Effects of location on Airbnb apartment pricing in Málaga,Jorge Chica-Olmo; Juan G. González-Morales; José L. Zafra-Gómez,2020,10.1016/j.tourman.2019.103981,94,94,OUCI,2026-08-04,uncertain,Airbnb / housing prices,spatial hedonic; spatial lag/error; Moran’s I,Málaga Airbnb dataset,Airbnb listing prices,non vérifié dans la source consultée,Airbnb apartment price,"host, guest, structural, accessibility, traffic noise, walkability, ethnicity and location variables",listing point coordinates,spatial neighbor/weight structure used for location spillovers; exact W to extract,spatial hedonic price model; exact empirical equation to extract from paper,partial,R²; logLik; AIC; Moran’s I,directly downloadable,https://data.mendeley.com/datasets/99dp658c2z/1,non trouvé,non trouvé,"Direct data deposit, clear response and rich spatial covariates; strong ingestion candidate despite <100 citations.",high,"Dataset DOI verified. Extract the exact variable names, sample size and W from the paper/data dictionary.",https://doi.org/10.1016/j.tourman.2019.103981 ; https://doi.org/10.17632/99dp658c2z.1
35,WorldClim 2: New 1-km spatial resolution climate surfaces for global land areas,Stephen E. Fick; Robert J. Hijmans,2017,10.1002/joc.5086,92,92,CiNii,2026-08-04,uncertain,climate / interpolation,thin-plate spline; spatial interpolation,WorldClim version 2,global climate normals,station counts vary by variable,"temperature, precipitation, solar radiation, wind speed and water vapour pressure","weather stations, elevation, distance to coast, MODIS land-surface temperature and cloud cover",station coordinates and global raster grid,interpolation kernels/splines; no fixed W,variable-specific interpolation models,partial,cross-validation error; RMSE; correlation,directly downloadable,https://www.worldclim.org/data/worldclim21.html,non trouvé,non trouvé,"Central recent climate covariate source, directly downloadable and broadly used.",high,"Below 100 in the consulted citation source, but methodologically central; version 2.1 is newer than the paper’s original release.",https://doi.org/10.1002/joc.5086 ; https://www.worldclim.org/data/worldclim21.html
18,Random forest as a generic framework for predictive modeling of spatial and spatio-temporal variables,Tomislav Hengl; Madlene Nussbaum; Marvin N. Wright; Gerard B. M. Heuvelink; Benedikt Gräler,2018,10.7717/peerj.5518,non vérifié,,non vérifié,2026-08-04,uncertain,geospatial ML / environment,RFsp; random forest; spatial prediction,multiple textbook spatial and spatiotemporal datasets,"soil, environmental and spatiotemporal prediction",multiple datasets,varies by case study,environmental covariates plus distances or spatial coordinates encoded as predictors,point observations and prediction grids,spatial distances/coordinates represented as RF features rather than a fixed W,RF with spatial covariates; exact formulas vary by case,partial,RMSE; R²; cross-validation; runtime,directly downloadable,https://peerj.com/articles/5518/#supplemental-information,non trouvé,https://peerj.com/articles/5518.pdf,Open article with multiple reusable spatial-prediction cases and explicit comparison framework.,high,Split the paper into individual dataset records after reading supplements.,https://doi.org/10.7717/peerj.5518 ; https://peerj.com/articles/5518/
22,All-scale spatial analysis of ecological data by means of principal coordinates of neighbour matrices,Daniel Borcard; Pierre Legendre,2002,10.1016/S0304-3800(01)00501-4,non vérifié,,non vérifié,2026-08-04,uncertain,biodiversity / ecology,PCNM; MEM; spatial eigenvectors,Oribatid mite community data,species abundance and environment,70 sampling sites in the standard package version,species abundance / community composition,environmental covariates and sampling coordinates,sampling-site coordinates,truncated geographic distance matrix and principal coordinates,ecological response matrix partitioned by environmental and PCNM variables,partial,variance explained; adjusted R²; permutation tests,directly downloadable,https://vegandevs.github.io/vegan/reference/mite.html,https://cran.r-project.org/package=vegan,non trouvé,"Canonical all-scales spatial-eigenvector dataset, directly available in R.",high,Model is multivariate rather than a single-response regression; derive univariate benchmark tasks carefully.,https://doi.org/10.1016/S0304-3800(01)00501-4 ; https://vegandevs.github.io/vegan/reference/mite.html
25,blockCV: An R package for generating spatially or environmentally separated folds for k-fold cross-validation of species distribution models,Roshan Valavi; Jane Elith; José J. Lahoz-Monfort; Gurutzeta Guillera-Arroita,2019,10.1111/2041-210X.13107,non vérifié,,non vérifié,2026-08-04,uncertain,spatial cross-validation / biodiversity,blockCV; spatial CV; environmental blocking,package example species-distribution datasets,species distribution modelling,varies,presence/absence or presence-background response,environmental raster covariates,occurrence points plus raster geometry,"spatial blocks, buffers and environmental clusters",estimator-independent fold generation,partial,AUC; TSS; RMSE or task-specific holdout metrics,directly downloadable,https://doi.org/10.5281/zenodo.1453551,https://github.com/rvalavi/blockCV,non trouvé,Direct code/data deposit and explicit spatial splitting; ideal for spatialtidymodels resampling.,high,Pin package and Zenodo versions for reproducible folds.,https://doi.org/10.1111/2041-210X.13107 ; https://doi.org/10.5281/zenodo.1453551 ; https://github.com/rvalavi/blockCV
26,Spatial cross-validation and bootstrap for the assessment of prediction rules in remote sensing: The R package sperrorest,Alexander Brenning,2012,10.1109/IGARSS.2012.6352393,non vérifié,,non vérifié,2026-08-04,uncertain,spatial cross-validation / remote sensing,sperrorest; spatial CV; bootstrap,sperrorest package examples,remote sensing and spatial prediction,varies,continuous or categorical spatial response,remote-sensing and terrain covariates,points/grids with coordinates,spatial partitioning via blocks/clusters/buffers,estimator-independent resampling interface,partial,RMSE; misclassification error; AUC; bootstrap estimates,directly downloadable,https://cran.r-project.org/package=sperrorest,https://github.com/giscience-fsu/sperrorest,non trouvé,Early reproducible implementation of spatial CV with direct relevance to benchmark protocols.,high,Conference paper is brief; package vignettes contain more operational detail.,https://doi.org/10.1109/IGARSS.2012.6352393 ; https://cran.r-project.org/package=sperrorest
30,Mapping soil properties of Africa at 250 m resolution: Random forests significantly improve current predictions,Tomislav Hengl et al.,2015,10.1371/journal.pone.0125814,non vérifié,,non vérifié,2026-08-04,uncertain,soil / agriculture / Africa,random forest; regression kriging; spatial prediction,Africa Soil Profiles / AfSIS and legacy soil observations,soil-property mapping,">28,000 sampling locations; paper reports large legacy profile/horizon compilations","soil properties including pH, organic carbon, texture and related attributes","remote sensing, terrain, climate, geology and land-cover covariates",soil profile points plus 250 m raster grid,spatial covariates; residual geostatistical structure depending on target,property-specific RF spatial-prediction models,partial,RMSE; R²; cross-validation; uncertainty maps,directly downloadable,https://research.wur.nl/en/datasets/soil-property-maps-of-africa-at-250-m/,non trouvé,https://journals.plos.org/plosone/article/file id=10.1371/journal.pone.0125814&type=printable,"Large, open, multi-response soil benchmark with rich raster covariates.",high,Use one KG dataset node per property/depth and record the sampling-support differences.,https://doi.org/10.1371/journal.pone.0125814 ; https://research.wur.nl/en/datasets/soil-property-maps-of-africa-at-250-m/
31,SoilGrids250m: Global gridded soil information based on machine learning,Tomislav Hengl et al.,2017,10.1371/journal.pone.0169748,non vérifié,,non vérifié,2026-08-04,uncertain,soil / global environment,random forest; ensemble ML; spatial prediction,SoilGrids250m and global soil-profile compilation,global soil properties by depth,global profile compilation; exact N varies by property and depth,soil properties at standard depths,"global climate, terrain, remote-sensing, geology and land-cover covariates",profile points and 250 m global rasters,spatial coordinates and environmental covariates; no single econometric W,property-specific machine-learning models,partial,RMSE; R²; cross-validation; uncertainty,directly downloadable,https://soilgrids.org/,https://github.com/Envirometrix/SoilGrids250m,https://journals.plos.org/plosone/article/file id=10.1371/journal.pone.0169748&type=printable,"Globally accessible benchmark with many responses, covariates and prediction grids.",high,Version the SoilGrids release and source-profile snapshot; current web products may differ from the 2017 paper.,https://doi.org/10.1371/journal.pone.0169748 ; https://soilgrids.org/ ; https://github.com/Envirometrix/SoilGrids250m
32,Mapping topsoil physical properties at European scale using the LUCAS database,Cristiano Ballabio; Panos Panagos; Luca Montanarella,2016,10.1016/j.geoderma.2015.07.006,non vérifié,,non vérifié,2026-08-04,uncertain,soil / Europe / agriculture,spatial prediction; regression; geostatistics,LUCAS Topsoil physical properties,European topsoil properties,LUCAS points; final N varies after quality control,"clay, silt, sand, coarse fragments, bulk density and related physical properties","terrain, climate, land cover/use and auxiliary soil covariates",georeferenced LUCAS sampling points and European rasters,spatial prediction neighborhoods / residual structure; exact W not central,property-specific spatial prediction models; exact equations to extract,partial,RMSE; R²; cross-validation errors,directly downloadable,https://esdac.jrc.ec.europa.eu/content/topsoil-physical-properties-europe-based-lucas-topsoil-data,non trouvé,non trouvé,Official downloadable European point/raster data with multiple benchmark responses.,high,Check licensing and exact release matching the article.,https://doi.org/10.1016/j.geoderma.2015.07.006 ; https://esdac.jrc.ec.europa.eu/content/topsoil-physical-properties-europe-based-lucas-topsoil-data
43,Improving performance of spatio-temporal machine-learning models using forward feature selection and target-oriented validation,Hanna Meyer et al.,2018,10.1016/j.envsoft.2017.12.001,non vérifié,,non vérifié,2026-08-04,uncertain,agriculture / precision agriculture / spatiotemporal ML,RF; target-oriented CV; feature selection,Cook Agronomy Farm,field-scale environmental prediction,spatiotemporal field observations; exact N to extract,air temperature and VW variable reported in the paper; exact VW definition to verify,"remote-sensing, terrain, weather and temporal predictors",field sampling locations with time,"leave-location-out, leave-time-out and combined target-oriented folds",RF models under alternative validation/feature-selection schemes,partial,R²; RMSE; spatial/temporal holdout error,directly downloadable,https://cran.r-project.org/package=CAST,https://github.com/HannaMeyer/CAST,non trouvé,Directly relevant to near/far prediction and reusable through the CAST package.,high,"Extract the exact response definitions, sampling dates and package dataset names.",https://doi.org/10.1016/j.envsoft.2017.12.001 ; https://cran.r-project.org/package=CAST
12,Geographically weighted Poisson regression for disease association mapping,Tomoki Nakaya; A. Stewart Fotheringham; Chris Brunsdon; Martin Charlton,2005,10.1002/sim.2129,557,557,SciSpace,2026-08-04,uncertain,health / epidemiology,GWPR; GWR; Poisson; bandwidth selection,disease-mapping application,disease counts and relative risk,non vérifié,disease event counts with expected counts as offset,socioeconomic and environmental area covariates; exact list to extract,areal units with centroids/geometry,distance-kernel weights; bandwidth selected locally/globally,"log(μ_i) = log(E_i) + β0(u_i,v_i) + Σ_k βk(u_i,v_i)x_ik",explicit,AICc; deviance; local coefficients; residual maps,mentioned but not accessible,non trouvé,non trouvé,non trouvé,Highly cited count-regression benchmark with explicit offset and local coefficients.,high,Dataset name and direct download were not identified in the sources consulted.,https://doi.org/10.1002/sim.2129
17,Geographical random forests: A spatial extension of the random forest algorithm to address spatial heterogeneity in remote sensing and population modelling,Stefanos Georganos; Thomas Grippa; A. N. Gadiaga; Catherine Linard; Mathieu Lennert; Sabine Vanhuysse; N. O. Mboga; Eléonore Wolff; Stamatis Kalogirou,2019,10.1080/10106049.2019.1595177,non vérifié,,non vérifié,2026-08-04,uncertain,urban population / remote sensing,GRF; geographical random forest; local RF,Dakar census neighborhoods and very-high-resolution remote-sensing covariates,population modelling,non vérifié,population count or density,land-cover and remote-sensing features plus neighborhood attributes,census polygons and raster/point-derived covariates,local neighborhoods defined by geographical bandwidth,global RF combined with local random forests; exact prediction equation not stated as a linear formula,partial,RMSE; R²; variable importance; local diagnostics,mentioned but not accessible,non trouvé,https://cran.r-project.org/package=SpatialML,non trouvé,"Foundational GRF application with clear response, spatial support and local ML estimator.",high,Direct analysis-ready Dakar data was not located; code is available through SpatialML.,https://doi.org/10.1080/10106049.2019.1595177 ; https://cran.r-project.org/package=SpatialML
49,A linearization for stable and fast geographically weighted Poisson regression,Daisuke Murakami; Narumasa Tsutsumida; Takahiro Yoshida; Tomoki Nakaya; Binbin Lu; Paul Harris,2023,10.1080/13658816.2023.2209811,non vérifié,,non vérifié,2026-08-04,uncertain,crime / urban studies,L-GWPR; GWPR; ridge; bandwidth selection,Tokyo crime analysis plus Monte Carlo simulations,spatial crime counts,Tokyo zones; exact N to extract,crime count,socioeconomic/urban covariates; exact list to extract,Tokyo zones with geographic centers,Gaussian distance kernel using Euclidean distance between zone centers,Poisson/GWPR log-mean model approximated by linearized GWR; regularized L-GWPR,explicit,RMSE; bias; runtime; AICc/CV,covariate sources only,non trouvé,non trouvé,https://repository.rothamsted.ac.uk/id/eprint/32534/1/arxiv-preprint-2305.08443.pdf,"Recent central GWPR benchmark with explicit model, simulation design and real crime application.",high,Recent exception to citation threshold; exact Tokyo data source/code was not identified.,https://doi.org/10.1080/13658816.2023.2209811 ; https://arxiv.org/abs/2305.08443
29,Spatial validation reveals poor predictive performance of large-scale ecological mapping models,Pierre Ploton et al.,2020,10.1038/s41467-020-18321-y,687,687,Nature article metrics,2026-08-04,uncertain,forest / biodiversity / biomass,RF; spatial CV; block validation,forest inventory plots and remote-sensing biomass covariates,above-ground biomass mapping,large multi-region plot datasets; exact N by analysis to extract,above-ground biomass,"remote-sensing, climate and environmental predictors",forest plot coordinates plus raster grids,spatial blocks / distance-separated validation,machine-learning biomass models evaluated under random and spatial CV,partial,RMSE; R²; bias; map error,covariate sources only,https://www.nature.com/articles/s41467-020-18321-y#Sec12,non trouvé,https://www.nature.com/articles/s41467-020-18321-y.pdf,Highly cited demonstration of why spatial validation changes benchmark rankings.,high,Some underlying inventory data may be access-controlled; supplementary files and derived data are open.,https://doi.org/10.1038/s41467-020-18321-y
