paper_title,authors,year,DOI,citation_count,already_in_corpus,domain,estimator_keywords,dataset_name,dataset_topic,dataset_size_if_available,response_variable,predictors_or_covariates,coordinates_or_geometry,W_or_neighbor_structure_if_available,regression_formula_or_model_specification,formula_status,data_access_url,code_url,open_access_pdf_url,reason_for_selection,ingestion_priority,verification_notes,source_url,matched_query
The Association between Environmental Factors and Scarlet Fever Incidence in Beijing Region: Using GIS and Spatial Regression Models,Gehendra Mahara; Chao Wang; Kun Yang; Sipeng Chen; Jin Guo; Qi Gao; et al.,2016,10.3390/ijerph13111083,58,no,health / epidemiology; soil / geochemistry / pollution; climate / weather,SAR; SEM,non vérifié,health / epidemiology; soil / geochemistry / pollution; climate / weather,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.mdpi.com/1660-4601/13/11/1083/pdf?version=1478687903,"spatial dataset likely, manual verification required; citations=58; query=health mortality spatial regression GWR dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3390/ijerph13111083,health mortality spatial regression GWR dataset
mgwr: A Python Implementation of Multiscale Geographically Weighted Regression for Investigating Process Spatial Heterogeneity and Scale,Taylor M. Oshan; Ziqi Li; Wei Kang; Levi John Wolf; A. Stewart Fotheringham,2019,10.3390/ijgi8060269,794,no,non vérifié,GWR; MGWR,non vérifié,non vérifié,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.mdpi.com/2220-9964/8/6/269/pdf?version=1561363503,"spatial dataset likely, manual verification required; citations=794; query=geographically weighted regression dataset GWR MGWR bandwidth",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3390/ijgi8060269,geographically weighted regression dataset GWR MGWR bandwidth
Optimal Combination of Predictors and Algorithms for Forest Above-Ground Biomass Mapping from Sentinel and SRTM Data,Lin Chen; Yeqiao Wang; Chunying Ren; Bai Zhang; Zongming Wang,2019,10.3390/rs11040414,120,no,non vérifié,SAR; GWR,non vérifié,non vérifié,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.mdpi.com/2072-4292/11/4/414/pdf?version=1550473559,"spatial dataset likely, manual verification required; citations=120; query=crop yield spatial regression GWR random forest dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3390/rs11040414,crop yield spatial regression GWR random forest dataset
Geographically weighted machine learning for modeling spatial heterogeneity in traffic crash frequency and determinants in US,Shuli Wang; Kun Gao; Lanfang Zhang; Bo Yu; Said M. Easa,2024,10.1016/j.aap.2024.107528,75,no,transport / mobility; land use / biodiversity,GWR; spatial_random_forest,non vérifié,transport / mobility; land use / biodiversity,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://research.chalmers.se/publication/540338/file/540338_Fulltext.pdf,"spatial dataset likely, manual verification required; citations=75; query=health mortality spatial regression GWR dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1016/j.aap.2024.107528,health mortality spatial regression GWR dataset
Trees Grow on Money: Urban Tree Canopy Cover and Environmental Justice,Kirsten Schwarz; Michail Fragkias; Christopher G. Boone; Weiqi Zhou; Melissa R. McHale; J. Morgan Grove; et al.,2015,10.1371/journal.pone.0122051,615,no,housing / real estate; education / inequality; climate / weather,SAR,non vérifié,housing / real estate; education / inequality; climate / weather,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0122051&type=printable,"spatial dataset likely, manual verification required; citations=615; query=education inequality spatial regression dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1371/journal.pone.0122051,education inequality spatial regression dataset
"Remote Sensing Approaches for Monitoring Mangrove Species, Structure, and Biomass: Opportunities and Challenges",Tien Dat Pham; Naoto Yokoya; Dieu Tien Bui; Kunihiko Yoshino; Daniel A. Friess,2019,10.3390/rs11030230,322,no,climate / weather; land use / biodiversity,SAR,non vérifié,climate / weather; land use / biodiversity,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.mdpi.com/2072-4292/11/3/230/pdf?version=1548672188,"empirical/case-study dataset likely, manual verification required; citations=322; query=spatial random forest geospatial machine learning dataset regression",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3390/rs11030230,spatial random forest geospatial machine learning dataset regression
Vessel detection and classification from spaceborne optical images: A literature survey,Urša Kanjir; H. Greidanus; Krištof Oštir,2018,10.1016/j.rse.2017.12.033,321,no,soil / geochemistry / pollution; climate / weather,SAR,non vérifié,soil / geochemistry / pollution; climate / weather,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.sciencedirect.com/science/article/pii/S0034425717306193/pdf,"spatial dataset likely, manual verification required; citations=321; query=spatial random forest geospatial machine learning dataset regression",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1016/j.rse.2017.12.033,spatial random forest geospatial machine learning dataset regression
The impact of green technology innovation on carbon dioxide emissions: The role of local environmental regulations,Kaiwen Chang; Lanlan Liu; Dan Luo; Kai Xing,2023,10.1016/j.jenvman.2023.117990,288,no,soil / geochemistry / pollution,SDM,non vérifié,soil / geochemistry / pollution,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://centaur.reading.ac.uk/111914/1/1-s2.0-S0301479723007788-main.pdf,"spatial dataset likely, manual verification required; citations=288; query=spatial econometrics SAR SEM SDM dataset regression",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1016/j.jenvman.2023.117990,spatial econometrics SAR SEM SDM dataset regression
The complexities of measuring access to parks and physical activity sites in New York City: a quantitative and qualitative approach,Andrew Maroko; Juliana Maantay; Nancy Sohler; Kristen Grady; Peter S. Arno,2009,10.1186/1476-072x-8-34,233,no,education / inequality; health / epidemiology; transport / mobility,GWR,non vérifié,education / inequality; health / epidemiology; transport / mobility,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://ij-healthgeographics.biomedcentral.com/counter/pdf/10.1186/1476-072X-8-34,"spatial dataset likely, manual verification required; citations=233; query=health mortality spatial regression GWR dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1186/1476-072x-8-34,health mortality spatial regression GWR dataset
"Exploring the spatial and temporal driving mechanisms of landscape patterns on habitat quality in a city undergoing rapid urbanization based on GTWR and MGWR: The case of Nanjing, China",Jinyu Hu; Jiaxin Zhang; Yunqin Li,2022,10.1016/j.ecolind.2022.109333,216,no,land use / biodiversity,MGWR,non vérifié,land use / biodiversity,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.sciencedirect.com/science/article/pii/S1470160X22008068/pdf,"spatial dataset likely, manual verification required; citations=216; query=geographically weighted regression dataset GWR MGWR bandwidth",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1016/j.ecolind.2022.109333,geographically weighted regression dataset GWR MGWR bandwidth
"Assessment of groundwater quality for irrigation in the arid regions using irrigation water quality index (IWQI) and GIS-Zoning maps: Case study from Abu Dhabi Emirate, UAE",Mufeed Batarseh; Emad Imreizeeq; Seyda Tilev; Mohammad Al Alaween; Wael Suleiman; Abdulla Mohammed Al Remeithi; et al.,2021,10.1016/j.gsd.2021.100611,198,no,agriculture / crop yield; soil / geochemistry / pollution,SAR,non vérifié,agriculture / crop yield; soil / geochemistry / pollution,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.sciencedirect.com/science/article/pii/S2352801X21000680/pdf,"empirical/case-study dataset likely, manual verification required; citations=198; query=soil geochemistry pollution spatial regression dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1016/j.gsd.2021.100611,soil geochemistry pollution spatial regression dataset
Responses of ecosystem services to natural and anthropogenic forcings: A spatial regression based assessment in the world's largest mangrove ecosystem,Srikanta Sannigrahi; Qi Zhang; Francesco Pilla; P. K. Joshi; Bidroha Basu; Saskia Keesstra; et al.,2020,10.1016/j.scitotenv.2020.137004,187,no,climate / weather,GWR,non vérifié,climate / weather,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.sciencedirect.com/science/article/pii/S0048969720305143/pdf,"spatial dataset likely, manual verification required; citations=187; query=housing price spatial econometrics GWR SAR dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1016/j.scitotenv.2020.137004,housing price spatial econometrics GWR SAR dataset
A city of cities: Measuring how 15-minutes urban accessibility shapes human mobility in Barcelona,Eduardo Graells-Garrido; Feliu Serra-Burriel; Francisco Rowe; Fernando M. Cucchietti; Patricio Reyes,2021,10.1371/journal.pone.0250080,169,no,education / inequality; transport / mobility,GWR,non vérifié,education / inequality; transport / mobility,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0250080&type=printable,"spatial dataset likely, manual verification required; citations=169; query=geographically weighted regression dataset GWR MGWR bandwidth",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1371/journal.pone.0250080,geographically weighted regression dataset GWR MGWR bandwidth
National-Scale Estimates of Ground-Level PM2.5 Concentration in China Using Geographically Weighted Regression Based on 3 km Resolution MODIS AOD,Wei You; Zengliang Zang; Lifeng Zhang; Yi Li; Xiaobin Pan; Weiqi Wang,2016,10.3390/rs8030184,156,no,health / epidemiology; soil / geochemistry / pollution,GWR,non vérifié,health / epidemiology; soil / geochemistry / pollution,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.mdpi.com/2072-4292/8/3/184/pdf?version=1456476295,"spatial dataset likely, manual verification required; citations=156; query=health mortality spatial regression GWR dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3390/rs8030184,health mortality spatial regression GWR dataset
A Novel Method for Improving Air Pollution Prediction Based on Machine Learning Approaches: A Case Study Applied to the Capital City of Tehran,M. R. Delavar; Amin Gholami; Gholam Reza Shiran; Yousef Rashidi; G. Nakhaeizadeh; K. Fedra; et al.,2019,10.3390/ijgi8020099,155,no,health / epidemiology; soil / geochemistry / pollution; climate / weather,GWR,non vérifié,health / epidemiology; soil / geochemistry / pollution; climate / weather,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.mdpi.com/2220-9964/8/2/99/pdf?version=1553072885,"empirical/case-study dataset likely, manual verification required; citations=155; query=health mortality spatial regression GWR dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3390/ijgi8020099,health mortality spatial regression GWR dataset
Unlocking Sustainable Value through Digital Transformation: An Examination of ESG Performance,Aleksy Кwilinski; Oleksii Lyulyov; Tetyana Pimonenko,2023,10.3390/info14080444,134,no,soil / geochemistry / pollution; climate / weather,SDM,non vérifié,soil / geochemistry / pollution; climate / weather,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.mdpi.com/2078-2489/14/8/444/pdf?version=1691382684,"empirical/case-study dataset likely, manual verification required; citations=134; query=spatial econometrics SAR SEM SDM dataset regression",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3390/info14080444,spatial econometrics SAR SEM SDM dataset regression
"Spatial analysis of MODIS aerosol optical depth, PM2.5, and chronic coronary heart disease",Zhiyong Hu,2009,10.1186/1476-072x-8-27,133,no,health / epidemiology; soil / geochemistry / pollution,GWR,non vérifié,health / epidemiology; soil / geochemistry / pollution,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://ij-healthgeographics.biomedcentral.com/track/pdf/10.1186/1476-072X-8-27,"spatial dataset likely, manual verification required; citations=133; query=health mortality spatial regression GWR dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1186/1476-072x-8-27,health mortality spatial regression GWR dataset
"Evaluation of groundwater quality for agricultural under different conditions using water quality indices, partial least squares regression models, and GIS approaches",Milad Masoud; Maged El Osta; Abdulaziz Alqarawy; Salah Elsayed; Mohamed Gad,2022,10.1007/s13201-022-01770-9,120,no,agriculture / crop yield; soil / geochemistry / pollution,SAR,non vérifié,agriculture / crop yield; soil / geochemistry / pollution,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://link.springer.com/content/pdf/10.1007/s13201-022-01770-9.pdf,"dataset mentioned in title/abstract, manual verification required; citations=120; query=soil geochemistry pollution spatial regression dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1007/s13201-022-01770-9,soil geochemistry pollution spatial regression dataset
"Evaluation of Groundwater Quality for Irrigation in Deep Aquifers Using Multiple Graphical and Indexing Approaches Supported with Machine Learning Models and GIS Techniques, Souf Valley, Algeria",Mohamed Hamdy Eid; Mohssen Elbagory; Ahmed A. Tamma; Mohamed Gad; Salah Elsayed; Hend Hussein; et al.,2023,10.3390/w15010182,116,no,agriculture / crop yield; climate / weather,SAR,non vérifié,agriculture / crop yield; climate / weather,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.mdpi.com/2073-4441/15/1/182/pdf?version=1672968318,"spatial dataset likely, manual verification required; citations=116; query=soil geochemistry pollution spatial regression dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3390/w15010182,soil geochemistry pollution spatial regression dataset
A modification to geographically weighted regression,Y. S. Leong; Jack C. Yue,2017,10.1186/s12942-017-0085-9,102,no,crime / policing; soil / geochemistry / pollution,GWR,non vérifié,crime / policing; soil / geochemistry / pollution,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://ij-healthgeographics.biomedcentral.com/counter/pdf/10.1186/s12942-017-0085-9,"dataset mentioned in title/abstract, manual verification required; citations=102; query=housing price spatial econometrics GWR SAR dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1186/s12942-017-0085-9,housing price spatial econometrics GWR SAR dataset
"Local regression models for spatial interpolation of urban heat island—an example from Wrocław, SW Poland",Mariusz Szymanowski; Maciej Kryza,2011,10.1007/s00704-011-0517-6,102,no,soil / geochemistry / pollution,GWR,non vérifié,soil / geochemistry / pollution,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://link.springer.com/content/pdf/10.1007/s00704-011-0517-6.pdf,"spatial dataset likely, manual verification required; citations=102; query=health mortality spatial regression GWR dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1007/s00704-011-0517-6,health mortality spatial regression GWR dataset
Estimating Ground Level NO2 Concentrations over Central-Eastern China Using a Satellite-Based Geographically and Temporally Weighted Regression Model,Kai Qin; L.V.G. Rao; Jian Xu; Yang Bai; Jiaheng Zou; Nan Hao; et al.,2017,10.3390/rs9090950,98,no,soil / geochemistry / pollution; transport / mobility,GWR,non vérifié,soil / geochemistry / pollution; transport / mobility,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.mdpi.com/2072-4292/9/9/950/pdf?version=1505304521,"dataset mentioned in title/abstract, manual verification required; citations=98; query=health mortality spatial regression GWR dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3390/rs9090950,health mortality spatial regression GWR dataset
"Correlation or Causality between Land Cover Patterns and the Urban Heat Island Effect? Evidence from Brisbane, Australia",Kaveh Deilami; Md. Kamruzzaman; John Hayes,2016,10.3390/rs8090716,84,no,soil / geochemistry / pollution; land use / biodiversity,GWR,non vérifié,soil / geochemistry / pollution; land use / biodiversity,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.mdpi.com/2072-4292/8/9/716/pdf?version=1472635509,"spatial dataset likely, manual verification required; citations=84; query=health mortality spatial regression GWR dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3390/rs8090716,health mortality spatial regression GWR dataset
The role of green finance in attaining environmental sustainability within a country's ESG performance,Aleksy Кwilinski; Oleksii Lyulyov; Tetyana Pimonenko,2025,10.1016/j.jik.2025.100674,82,no,climate / weather; land use / biodiversity,SDM,non vérifié,climate / weather; land use / biodiversity,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.econstor.eu/bitstream/10419/327575/1/S2444569X25000241.pdf,"spatial dataset likely, manual verification required; citations=82; query=spatial econometrics SAR SEM SDM dataset regression",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1016/j.jik.2025.100674,spatial econometrics SAR SEM SDM dataset regression
"Spatial distribution of incomplete immunization among under-five children in Ethiopia: evidence from 2005, 2011, and 2016 Ethiopian Demographic and health survey data",Mequannent Sharew Melaku; Araya Mesfin Nigatu; Wondewossen Zemene Mewosha,2020,10.1186/s12889-020-09461-3,82,no,health / epidemiology,GWR,non vérifié,health / epidemiology,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://bmcpublichealth.biomedcentral.com/counter/pdf/10.1186/s12889-020-09461-3,"spatial dataset likely, manual verification required; citations=82; query=health mortality spatial regression GWR dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1186/s12889-020-09461-3,health mortality spatial regression GWR dataset
"Using GIS, Remote Sensing, and Machine Learning to Highlight the Correlation between the Land-Use/Land-Cover Changes and Flash-Flood Potential",Romulus Costache; Quoc Bao Pham; Ema Corodescu-Roşca; Cătălin Ioan Cîmpianu; Haoyuan Hong; Nguyễn Thị Thùy Linh; et al.,2020,10.3390/rs12091422,82,no,climate / weather,GWR,non vérifié,climate / weather,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.mdpi.com/2072-4292/12/9/1422/pdf,"spatial dataset likely, manual verification required; citations=82; query=crop yield spatial regression GWR random forest dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3390/rs12091422,crop yield spatial regression GWR random forest dataset
