dataset_id,fiche_path,action,formula_used,y_term_used,x_terms_used,formula_candidate_1,formula_candidate_2,recommended_candidate,source,reason
Python_geodatasets_geoda.hickory1,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.hickory1.md,updated,hh_inc ~ tot_pop + pop_16 + pop_65 + white + black + asian + hisp + multi_ra,hh_inc,tot_pop + pop_16 + pop_65 + white + black + asian + hisp + multi_ra,hh_inc ~ tot_pop + pop_16 + pop_65 + white + black + asian + hisp + multi_ra,hh_inc ~ tot_pop + pop_16 + pop_65 + white,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
Python_geodatasets_geoda.hickory2,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.hickory2.md,updated,INDEX ~ POP2001 + EST98 + EMP98 + PAY98 + EST01 + MAN98 + MAN98_12 + MAN98_39,INDEX,POP2001 + EST98 + EMP98 + PAY98 + EST01 + MAN98 + MAN98_12 + MAN98_39,INDEX ~ POP2001 + EST98 + EMP98 + PAY98 + EST01 + MAN98 + MAN98_12 + MAN98_39,INDEX ~ POP2001 + EST98 + EMP98 + PAY98,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
Python_geodatasets_geoda.home_sales,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.home_sales.md,updated,price ~ bedrooms + bathrooms + sqft_liv + sqft_lot + floors + waterfront + view + condition,price,bedrooms + bathrooms + sqft_liv + sqft_lot + floors + waterfront + view + condition,price ~ bedrooms + bathrooms + sqft_liv + sqft_lot + floors + waterfront + view + condition,price ~ bedrooms + bathrooms + sqft_liv + sqft_lot,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
Python_geodatasets_geoda.lansing1,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.lansing1.md,updated,HH_INC ~ TOT_POP + POP_16 + POP_65 + WHITE + BLACK + ASIAN + HISP + MUTLI_RA,HH_INC,TOT_POP + POP_16 + POP_65 + WHITE + BLACK + ASIAN + HISP + MUTLI_RA,HH_INC ~ TOT_POP + POP_16 + POP_65 + WHITE + BLACK + ASIAN + HISP + MUTLI_RA,HH_INC ~ TOT_POP + POP_16 + POP_65 + WHITE,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
Python_geodatasets_geoda.lansing2,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.lansing2.md,updated,PCTGRO ~ POP2001 + EST98 + EMP98 + MAN98 + MAN98_12 + MAN98_39 + MAN01 + OFF98,PCTGRO,POP2001 + EST98 + EMP98 + MAN98 + MAN98_12 + MAN98_39 + MAN01 + OFF98,PCTGRO ~ POP2001 + EST98 + EMP98 + MAN98 + MAN98_12 + MAN98_39 + MAN01 + OFF98,PCTGRO ~ POP2001 + EST98 + EMP98 + MAN98,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
Python_geodatasets_geoda.lasrosas,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.lasrosas.md,skipped,yield ~ 1 + nitro + I(nitro^2),yield,1 + nitro + I(nitro^2),,,,existing_published_or_manual_formula,formula_used deja renseignee depuis une source publiee ou une revue manuelle
Python_geodatasets_geoda.milwaukee1,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.milwaukee1.md,updated,HH_INC ~ TOT_POP + POP_16 + POP_65 + WHITE_ + BLACK_ + ASIAN_ + HISP_ + MALES,HH_INC,TOT_POP + POP_16 + POP_65 + WHITE_ + BLACK_ + ASIAN_ + HISP_ + MALES,HH_INC ~ TOT_POP + POP_16 + POP_65 + WHITE_ + BLACK_ + ASIAN_ + HISP_ + MALES,HH_INC ~ TOT_POP + POP_16 + POP_65 + WHITE_,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
Python_geodatasets_geoda.ndvi,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.ndvi.md,updated,GREEN ~ TEMP + ELEV + PREC,GREEN,TEMP + ELEV + PREC,GREEN ~ TEMP + ELEV + PREC,GREEN ~ TEMP + ELEV + PREC,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
Python_geodatasets_geoda.nepal,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.nepal.md,updated,povindex ~ population + schlppop + schoolcnt + kids1_5 + pcincmp + TOTCAMT + TOTDAMT + EDUCAMT,povindex,population + schlppop + schoolcnt + kids1_5 + pcincmp + TOTCAMT + TOTDAMT + EDUCAMT,povindex ~ population + schlppop + schoolcnt + kids1_5 + pcincmp + TOTCAMT + TOTDAMT + EDUCAMT,povindex ~ population + schlppop + schoolcnt + kids1_5,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
Python_geodatasets_geoda.nyc,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.nyc.md,updated,rent2008 ~ forhis06 + forhis07 + forhis08 + forhis09 + forwh06 + forwh07 + forwh08 + forwh09,rent2008,forhis06 + forhis07 + forhis08 + forhis09 + forwh06 + forwh07 + forwh08 + forwh09,rent2008 ~ forhis06 + forhis07 + forhis08 + forhis09 + forwh06 + forwh07 + forwh08 + forwh09,rent2008 ~ forhis06 + forhis07 + forhis08 + forhis09,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
Python_geodatasets_geoda.nyc_education,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.nyc_education.md,updated,YOUTH_DROP ~ PER_MNRTY + PER_ASIAN + PER_WHITE + PER_BLACK + mean_inc + pop1619 + enrollhs + PER_PRV_SC,YOUTH_DROP,PER_MNRTY + PER_ASIAN + PER_WHITE + PER_BLACK + mean_inc + pop1619 + enrollhs + PER_PRV_SC,YOUTH_DROP ~ PER_MNRTY + PER_ASIAN + PER_WHITE + PER_BLACK + mean_inc + pop1619 + enrollhs + PER_PRV_SC,YOUTH_DROP ~ PER_MNRTY + PER_ASIAN + PER_WHITE + PER_BLACK,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
Python_geodatasets_geoda.nyc_neighborhoods,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.nyc_neighborhoods.md,updated,UEMPRATE ~ poptot + popover18 + popinlabou + households + hispanic + african + asian + european,UEMPRATE,poptot + popover18 + popinlabou + households + hispanic + african + asian + european,UEMPRATE ~ poptot + popover18 + popinlabou + households + hispanic + african + asian + european,UEMPRATE ~ poptot + popover18 + popinlabou + households,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
Python_geodatasets_geoda.orlando1,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.orlando1.md,updated,HH_INC ~ TOT_POP + POP_16 + POP_65 + WHITE_ + BLACK_ + ASIAN_ + HISP_ + MUTLI_RA,HH_INC,TOT_POP + POP_16 + POP_65 + WHITE_ + BLACK_ + ASIAN_ + HISP_ + MUTLI_RA,HH_INC ~ TOT_POP + POP_16 + POP_65 + WHITE_ + BLACK_ + ASIAN_ + HISP_ + MUTLI_RA,HH_INC ~ TOT_POP + POP_16 + POP_65 + WHITE_,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
Python_geodatasets_geoda.phoenix_acs,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.phoenix_acs.md,updated,inc ~ ALAND10 + AWATER10 + pop + white_rt + black_rt + hisp_rt + fem_nh_rt + hsu,inc,ALAND10 + AWATER10 + pop + white_rt + black_rt + hisp_rt + fem_nh_rt + hsu,inc ~ ALAND10 + AWATER10 + pop + white_rt + black_rt + hisp_rt + fem_nh_rt + hsu,inc ~ ALAND10 + AWATER10 + pop + white_rt,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
Python_geodatasets_geoda.police,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.police.md,updated,CRIME ~ POP + INC + UNEMP + OWN + COLLEGE + WHITE + COMMUTE + TAX,CRIME,POP + INC + UNEMP + OWN + COLLEGE + WHITE + COMMUTE + TAX,CRIME ~ POP + INC + UNEMP + OWN + COLLEGE + WHITE + COMMUTE + TAX,CRIME ~ POP + INC + UNEMP + OWN,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
Python_geodatasets_geoda.sacramento1,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.sacramento1.md,updated,HH_INC ~ TOT_POP + POP_16 + POP_65 + WHITE_ + BLACK_ + ASIAN_ + HISP_ + MULTI_RA,HH_INC,TOT_POP + POP_16 + POP_65 + WHITE_ + BLACK_ + ASIAN_ + HISP_ + MULTI_RA,HH_INC ~ TOT_POP + POP_16 + POP_65 + WHITE_ + BLACK_ + ASIAN_ + HISP_ + MULTI_RA,HH_INC ~ TOT_POP + POP_16 + POP_65 + WHITE_,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
Python_geodatasets_geoda.savannah1,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.savannah1.md,updated,HH_INC ~ TOT_POP + POP_16 + POP_65 + WHITE_ + BLACK_ + ASIAN_ + HISP_ + MUTLI_RA,HH_INC,TOT_POP + POP_16 + POP_65 + WHITE_ + BLACK_ + ASIAN_ + HISP_ + MUTLI_RA,HH_INC ~ TOT_POP + POP_16 + POP_65 + WHITE_ + BLACK_ + ASIAN_ + HISP_ + MUTLI_RA,HH_INC ~ TOT_POP + POP_16 + POP_65 + WHITE_,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
Python_geodatasets_geoda.seattle1,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.seattle1.md,updated,HH_INC ~ TOT_POP + POP_16 + POP_65 + WHITE_ + BLACK_ + ASIAN_ + HISP_ + MULTI_RA,HH_INC,TOT_POP + POP_16 + POP_65 + WHITE_ + BLACK_ + ASIAN_ + HISP_ + MULTI_RA,HH_INC ~ TOT_POP + POP_16 + POP_65 + WHITE_ + BLACK_ + ASIAN_ + HISP_ + MULTI_RA,HH_INC ~ TOT_POP + POP_16 + POP_65 + WHITE_,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
Python_geodatasets_geoda.tampa1,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.tampa1.md,updated,HH_INC ~ TOT_POP + POP_16 + POP_65 + WHITE_ + BLACK_ + ASIAN_ + HISP_ + MULTI_RA,HH_INC,TOT_POP + POP_16 + POP_65 + WHITE_ + BLACK_ + ASIAN_ + HISP_ + MULTI_RA,HH_INC ~ TOT_POP + POP_16 + POP_65 + WHITE_ + BLACK_ + ASIAN_ + HISP_ + MULTI_RA,HH_INC ~ TOT_POP + POP_16 + POP_65 + WHITE_,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
Python_geodatasets_geoda.us_sdoh,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.us_sdoh.md,updated,SDOH_CL ~ ep_pci + ep_nohs + ep_sngp + ep_lime + ep_crow + ep_nove + rntov30p_1 + ep_minrty,SDOH_CL,ep_pci + ep_nohs + ep_sngp + ep_lime + ep_crow + ep_nove + rntov30p_1 + ep_minrty,SDOH_CL ~ ep_pci + ep_nohs + ep_sngp + ep_lime + ep_crow + ep_nove + rntov30p_1 + ep_minrty,SDOH_CL ~ ep_pci + ep_nohs + ep_sngp + ep_lime,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
Python_geodatasets_naturalearth.cities,wiki/datasets/fiches_datasets/Python_geodatasets_naturalearth.cities.md,updated,pop_max ~ scalerank + natscale + labelrank + adm0cap + capalt + rank_max + rank_min + min_zoom,pop_max,scalerank + natscale + labelrank + adm0cap + capalt + rank_max + rank_min + min_zoom,pop_max ~ scalerank + natscale + labelrank + adm0cap + capalt + rank_max + rank_min + min_zoom,pop_max ~ scalerank + natscale + labelrank + adm0cap,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
Python_geodatasets_spdata.boston,wiki/datasets/fiches_datasets/Python_geodatasets_spdata.boston.md,skipped,log(CMEDV) ~ CRIM + I(RM^2) + log(LSTAT) + TAX + ZN + INDUS + CHAS + I(NOX^2) + AGE + log(DIS) + log(RAD) + PTRATIO + B,log(CMEDV),CRIM + I(RM^2) + log(LSTAT) + TAX + ZN + INDUS + CHAS + I(NOX^2) + AGE + log(DIS) + log(RAD) + PTRATIO + B,,,,existing_published_or_manual_formula,formula_used deja renseignee depuis une source publiee ou une revue manuelle
Python_geodatasets_spdata.columbus,wiki/datasets/fiches_datasets/Python_geodatasets_spdata.columbus.md,skipped,CRIME ~ HOVAL + INC,CRIME,HOVAL + INC,,,,existing_published_or_manual_formula,formula_used deja renseignee depuis une source publiee ou une revue manuelle
Python_geodatasets_spdata.eire,wiki/datasets/fiches_datasets/Python_geodatasets_spdata.eire.md,skipped,A ~ towns + pale,A,towns + pale,,,,existing_published_or_manual_formula,formula_used deja renseignee depuis une source publiee ou une revue manuelle
Python_geodatasets_spdata.nydata,wiki/datasets/fiches_datasets/Python_geodatasets_spdata.nydata.md,updated,TRACTCAS ~ POP8 + PCTOWNHOME + PCTAGE65P + AVGIDIST + PEXPOSURE,TRACTCAS,POP8 + PCTOWNHOME + PCTAGE65P + AVGIDIST + PEXPOSURE,TRACTCAS ~ POP8 + PCTOWNHOME + PCTAGE65P + AVGIDIST + PEXPOSURE,TRACTCAS ~ POP8 + PCTOWNHOME + PCTAGE65P + AVGIDIST,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
Python_geodatasets_spdata.wheat,wiki/datasets/fiches_datasets/Python_geodatasets_spdata.wheat.md,updated,yield ~ lat1,yield,lat1,yield ~ lat1,yield ~ lat1,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
Python_libpysal_Baltimore,wiki/datasets/fiches_datasets/Python_libpysal_Baltimore.md,skipped,PRICE ~ NROOM + NBATH + PATIO + FIREPL + AC + GAR + AGE + LOTSZ + SQFT,PRICE,NROOM + NBATH + PATIO + FIREPL + AC + GAR + AGE + LOTSZ + SQFT,,,,existing_published_or_manual_formula,formula_used deja renseignee depuis une source publiee ou une revue manuelle
Python_libpysal_chicagoSDOH,wiki/datasets/fiches_datasets/Python_libpysal_chicagoSDOH.md,updated,YPLL_rate ~ PDENS14 + CarC14P + CTA14P + Undr514P + Wht14P + Blk14P + Hisp14P + Pop2014,YPLL_rate,PDENS14 + CarC14P + CTA14P + Undr514P + Wht14P + Blk14P + Hisp14P + Pop2014,YPLL_rate ~ PDENS14 + CarC14P + CTA14P + Undr514P + Wht14P + Blk14P + Hisp14P + Pop2014,YPLL_rate ~ PDENS14 + CarC14P + CTA14P + Undr514P,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
Python_libpysal_Elections,wiki/datasets/fiches_datasets/Python_libpysal_Elections.md,updated,pct_dem_16 ~ ALAND + AWATER + PST045214 + PST120214 + POP010210 + AGE135214 + AGE295214 + AGE775214,pct_dem_16,ALAND + AWATER + PST045214 + PST120214 + POP010210 + AGE135214 + AGE295214 + AGE775214,pct_dem_16 ~ ALAND + AWATER + PST045214 + PST120214 + POP010210 + AGE135214 + AGE295214 + AGE775214,pct_dem_16 ~ ALAND + AWATER + PST045214 + PST120214,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
Python_libpysal_georgia,wiki/datasets/fiches_datasets/Python_libpysal_georgia.md,skipped,PctBach ~ PctRural + PctFB + PctBlack + PctEld,PctBach,PctRural + PctFB + PctBlack + PctEld,,,,existing_published_or_manual_formula,formula_used deja renseignee depuis une source publiee ou une revue manuelle
Python_libpysal_NYC_Socio-Demographics,wiki/datasets/fiches_datasets/Python_libpysal_NYC_Socio-Demographics.md,updated,UNEMP_RATE ~ poptot + popover18 + popinlabou + households + african + hispanic + asian + european,UNEMP_RATE,poptot + popover18 + popinlabou + households + african + hispanic + asian + european,UNEMP_RATE ~ poptot + popover18 + popinlabou + households + african + hispanic + asian + european,UNEMP_RATE ~ poptot + popover18 + popinlabou + households,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
Python_libpysal_Ohiolung,wiki/datasets/fiches_datasets/Python_libpysal_Ohiolung.md,updated,LM68 ~ AREA + POPM68 + POPF68 + POPM78 + POPF78 + POPM88 + POPF88 + LMW68,LM68,AREA + POPM68 + POPF68 + POPM78 + POPF78 + POPM88 + POPF88 + LMW68,LM68 ~ AREA + POPM68 + POPF68 + POPM78 + POPF78 + POPM88 + POPF88 + LMW68,LM68 ~ AREA + POPM68 + POPF68 + POPM78,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
Python_libpysal_Snow,wiki/datasets/fiches_datasets/Python_libpysal_Snow.md,updated,deaths ~ pestfield + dis_pestf + dis_sewers + dis_bspump,deaths,pestfield + dis_pestf + dis_sewers + dis_bspump,deaths ~ pestfield + dis_pestf + dis_sewers + dis_bspump,deaths ~ pestfield + dis_pestf + dis_sewers + dis_bspump,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
R_ade4_atlas_atlas,wiki/datasets/fiches_datasets/R_ade4_atlas_atlas.md,skipped,,,,,,,none,ade4 exclu de la passe benchmark spatial
R_ade4_atya_atya,wiki/datasets/fiches_datasets/R_ade4_atya_atya.md,skipped,,,,,,,none,ade4 exclu de la passe benchmark spatial
R_ade4_avijons_avijons,wiki/datasets/fiches_datasets/R_ade4_avijons_avijons.md,skipped,,,,,,,none,ade4 exclu de la passe benchmark spatial
R_ade4_buech_buech,wiki/datasets/fiches_datasets/R_ade4_buech_buech.md,skipped,,,,,,,none,ade4 exclu de la passe benchmark spatial
R_ade4_butterfly_butterfly,wiki/datasets/fiches_datasets/R_ade4_butterfly_butterfly.md,skipped,,,,,,,none,ade4 exclu de la passe benchmark spatial
R_ade4_doubs_doubs,wiki/datasets/fiches_datasets/R_ade4_doubs_doubs.md,skipped,,,,,,,none,ade4 exclu de la passe benchmark spatial
R_ade4_elec88_elec88,wiki/datasets/fiches_datasets/R_ade4_elec88_elec88.md,skipped,,,,,,,none,ade4 exclu de la passe benchmark spatial
R_ade4_irishdata_irishdata,wiki/datasets/fiches_datasets/R_ade4_irishdata_irishdata.md,skipped,,,,,,,none,ade4 exclu de la passe benchmark spatial
R_ade4_julliot_julliot,wiki/datasets/fiches_datasets/R_ade4_julliot_julliot.md,skipped,,,,,,,none,ade4 exclu de la passe benchmark spatial
R_ade4_jv73_jv73,wiki/datasets/fiches_datasets/R_ade4_jv73_jv73.md,skipped,,,,,,,none,ade4 exclu de la passe benchmark spatial
R_ade4_kcponds_kcponds,wiki/datasets/fiches_datasets/R_ade4_kcponds_kcponds.md,skipped,,,,,,,none,ade4 exclu de la passe benchmark spatial
R_ade4_macon_macon,wiki/datasets/fiches_datasets/R_ade4_macon_macon.md,skipped,,,,,,,none,ade4 exclu de la passe benchmark spatial
R_ade4_mafragh_mafragh,wiki/datasets/fiches_datasets/R_ade4_mafragh_mafragh.md,skipped,,,,,,,none,ade4 exclu de la passe benchmark spatial
R_ade4_oribatid_oribatid,wiki/datasets/fiches_datasets/R_ade4_oribatid_oribatid.md,skipped,,,,,,,none,ade4 exclu de la passe benchmark spatial
R_ade4_pcw_pcw,wiki/datasets/fiches_datasets/R_ade4_pcw_pcw.md,skipped,,,,,,,none,ade4 exclu de la passe benchmark spatial
R_ade4_sarcelles_sarcelles,wiki/datasets/fiches_datasets/R_ade4_sarcelles_sarcelles.md,skipped,,,,,,,none,ade4 exclu de la passe benchmark spatial
R_ade4_t3012_t3012,wiki/datasets/fiches_datasets/R_ade4_t3012_t3012.md,skipped,,,,,,,none,ade4 exclu de la passe benchmark spatial
R_ade4_tintoodiel_tintoodiel,wiki/datasets/fiches_datasets/R_ade4_tintoodiel_tintoodiel.md,skipped,,,,,,,none,ade4 exclu de la passe benchmark spatial
R_ade4_vegtf_vegtf,wiki/datasets/fiches_datasets/R_ade4_vegtf_vegtf.md,skipped,,,,,,,none,ade4 exclu de la passe benchmark spatial
R_ade4_zealand_zealand,wiki/datasets/fiches_datasets/R_ade4_zealand_zealand.md,skipped,,,,,,,none,ade4 exclu de la passe benchmark spatial
R_agridat_gartner.corn_gartner.corn,wiki/datasets/fiches_datasets/R_agridat_gartner.corn_gartner.corn.md,updated,mass ~ dist + elev,mass,dist + elev,mass ~ dist + elev,mass ~ dist + elev,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
R_agridat_lasrosas.corn_lasrosas.corn,wiki/datasets/fiches_datasets/R_agridat_lasrosas.corn_lasrosas.corn.md,skipped,yield ~ 1 + nitro + I(nitro^2) (referencee dans catalogue),yield,1 + nitro + I(nitro^2) (referencee dans catalogue),,,,existing_published_or_manual_formula,formula_used deja renseignee depuis une source publiee ou une revue manuelle
R_agridat_ortiz.tomato.covs_ortiz.tomato.covs,wiki/datasets/fiches_datasets/R_agridat_ortiz.tomato.covs_ortiz.tomato.covs.md,updated,Day ~ Dha + Driv + ExK + ExN + ExP + Irr + K + MeT,Day,Dha + Driv + ExK + ExN + ExP + Irr + K + MeT,Day ~ Dha + Driv + ExK + ExN + ExP + Irr + K + MeT,Day ~ Dha + Driv + ExK + ExN,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
R_agridat_usgs.herbicides_usgs.herbicides,wiki/datasets/fiches_datasets/R_agridat_usgs.herbicides_usgs.herbicides.md,updated,atrazine ~ sampletype + date + hour + ametryn + T,atrazine,sampletype + date + hour + ametryn + T,atrazine ~ sampletype + date + hour + ametryn + T,atrazine ~ sampletype + date + hour + ametryn,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
R_agridat_wallace.iowaland_wallace.iowaland,wiki/datasets/fiches_datasets/R_agridat_wallace.iowaland_wallace.iowaland.md,updated,fedval ~ yield + corn + grain + untillable,fedval,yield + corn + grain + untillable,fedval ~ yield + corn + grain + untillable,fedval ~ yield + corn + grain + untillable,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
R_gstat_DE_RB_2005_DE_RB_2005,wiki/datasets/fiches_datasets/R_gstat_DE_RB_2005_DE_RB_2005.md,skipped,PM10 ~ 1,PM10,1,,,,existing_published_or_manual_formula,formula_used deja renseignee depuis une source publiee ou une revue manuelle
